ID,種別,区,カテゴリ,対象月,名称,開催期間,文化パスポート,写真,開催場所名,住所,詳細URL,内容
313,常設,門司区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,東郷市民センター,福岡県北九州市門司区黒川西1-3-26,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
314,常設,門司区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,錦町市民センター,福岡県北九州市門司区清滝3-5-5,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
315,常設,門司区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,西門司市民センター,福岡県北九州市門司区稲積1-3-1,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
316,常設,門司区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,藤松市民センター,福岡県北九州市門司区上藤松2-3-31,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
317,常設,門司区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,丸山市民センター,福岡県北九州市門司区長谷1-14-28,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
318,常設,小倉北区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,到津市民センター,福岡県北九州市小倉北区下到津4-3-2,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
319,常設,小倉北区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,今町市民センター,福岡県北九州市小倉北区今町3-19-2,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
320,常設,小倉北区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,北小倉市民センター,福岡県北九州市小倉北区中井1-10-1,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
321,常設,小倉北区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,清水市民センター,福岡県北九州市小倉北区弁天町6-5,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
322,常設,小倉北区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,霧丘市民センター,福岡県北九州市小倉北区黒原2-30-30,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
323,常設,小倉北区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,桜丘市民センター,福岡県北九州市小倉北区上富野5-6-21,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
324,常設,小倉北区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,中井市民センター,福岡県北九州市小倉北区井堀2-7-4,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
325,常設,小倉北区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,中島市民センター,福岡県北九州市小倉北区昭和町16-2,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
326,常設,小倉北区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,日明市民センター,福岡県北九州市小倉北区日明4-3-7,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
327,常設,小倉北区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,南丘市民センター,福岡県北九州市小倉北区熊谷1-26-15,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
328,常設,小倉北区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,南小倉市民センター,福岡県北九州市小倉北区新高田1-10-3,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
329,常設,小倉南区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,長行市民センター,福岡県北九州市小倉南区徳吉西3-3-16,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
330,常設,小倉南区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,広徳市民センター,福岡県北九州市小倉南区徳力6-3-2,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
331,常設,小倉南区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,城野市民センター,福岡県北九州市小倉南区富士見3-1-3,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
332,常設,小倉南区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,長尾市民センター,福岡県北九州市小倉南区長行西1-1-1,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
333,常設,小倉南区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,沼市民センター,福岡県北九州市小倉南区沼緑町4-28-1,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
334,常設,小倉南区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,若園市民センター,福岡県北九州市小倉南区若園4-1-50,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
335,常設,若松区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,青葉市民センター,福岡県北九州市若松区青葉台西1-14-1,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
336,常設,若松区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,高須市民センター,福岡県北九州市若松区高須北1-1-2,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
337,常設,若松区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,藤ノ木市民センター,福岡県北九州市若松区赤島町20-13,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
338,常設,若松区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,二島市民センター,福岡県北九州市若松区東二島2-7-3,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
339,常設,八幡東区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,祝町市民センター,福岡県北九州市八幡東区宮の町2-2-10,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
340,常設,八幡東区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,枝光北市民センター,福岡県北九州市八幡東区枝光2-8-5,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
341,常設,八幡東区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,大蔵市民センター,福岡県北九州市八幡東区大蔵2-1-40,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
342,常設,八幡東区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,尾倉市民センター,福岡県北九州市八幡東区尾倉1-15-2,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
343,常設,八幡西区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,赤坂市民センター,福岡県北九州市八幡西区星和町28-26,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
344,常設,八幡西区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,浅川市民センター,福岡県北九州市八幡西区浅川日の峯2-1-10,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
345,常設,八幡西区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,折尾西市民センター,福岡県北九州市八幡西区日吉台1-22-20,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
346,常設,八幡西区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,折尾東市民センター,福岡県北九州市八幡西区光明2-2-50,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
347,常設,八幡西区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,香月市民センター,福岡県北九州市八幡西区香月中央1-7-1,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
348,常設,八幡西区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,熊西市民センター,福岡県北九州市八幡西区幸神4-3-1,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
349,常設,八幡西区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,黒崎市民センター,福岡県北九州市八幡西区藤田4-1-1,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
350,常設,八幡西区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,千代市民センター,福岡県北九州市八幡西区千代2-27-1,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
351,常設,八幡西区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,引野市民センター,福岡県北九州市八幡西区別所町9-1,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
352,常設,八幡西区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,星ヶ丘市民センター,福岡県北九州市八幡西区大字笹田920-8,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
353,常設,八幡西区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,八児市民センター,福岡県北九州市八幡西区町上津役東1-17-1,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
354,常設,戸畑区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,浅生市民センター,福岡県北九州市戸畑区浅生2-13-7,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
355,常設,戸畑区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,一枝市民センター,福岡県北九州市戸畑区一枝1-8-1,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
356,常設,戸畑区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,大谷市民センター,福岡県北九州市戸畑区東大谷2-2-44,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
357,常設,戸畑区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,鞘ヶ谷市民センター,福岡県北九州市戸畑区西鞘ヶ谷町3-17,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
358,常設,戸畑区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,沢見市民センター,福岡県北九州市戸畑区小芝2-1-4,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
359,常設,戸畑区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,三六市民センター,福岡県北九州市戸畑区小芝3-12-2,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
360,常設,戸畑区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,天籟寺市民センター,福岡県北九州市戸畑区夜宮2-4-15,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
361,常設,戸畑区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,中原市民センター,福岡県北九州市戸畑区中原西3-2-1,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
362,常設,戸畑区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,西戸畑市民センター,福岡県北九州市戸畑区南鳥旗町3-17,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
363,常設,戸畑区,ひんやり,常設,ひんやりスポット（わいわい市民センター）,,,,牧山東市民センター,福岡県北九州市戸畑区新川町3-25,https://www.city.kitakyushu.lg.jp/contents/11500207.html,
364,常設,門司区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,絆キッチン,北九州市門司区原町別院13-27,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
365,常設,門司区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,子ども食堂 食育「五つの力」,北九州市門司区下二十町3-7,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
366,常設,門司区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,OKANO学びの食堂,北九州市門司区中町1-14,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
367,常設,門司区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,みんなの居場所,北九州市門司区栄町９番１８　３F,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
368,常設,門司区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,地域食堂　北九州ジビエ,北九州市門司区奥田3-9-26,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
369,常設,小倉北区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,日明げんきもりもりハウス,北九州市小倉北区日明4-3-7　,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
370,常設,小倉北区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,ふくねこ食堂,北九州市小倉北区日明二丁目4-1,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
371,常設,小倉北区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,あしはらピッコロ,北九州市小倉北区足原2-8-3　,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
372,常設,小倉北区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,子ども食堂　キッチンQ,北九州市小倉北区京町3-10-9,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
373,常設,小倉北区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,こども食堂　happy today,北九州市小倉北区魚町3-3-3米谷ビル１階,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
374,常設,小倉北区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,子ども食堂　居場所,"北九州市小倉北区京町１－２－１０
京町プレイス１F",https://www.city.kitakyushu.lg.jp/contents/11700201.html,
375,常設,小倉北区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,子ども食堂☆きらきら清水,北九州市小倉北区清水2-14-9　,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
376,常設,小倉北区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,たべＴＥＴＴＥ,北九州市小倉北区東城野5-1,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
377,常設,小倉北区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,どーむきっちん,北九州市小倉北区三萩野3-1-1,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
378,常設,小倉北区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,片野子ども食堂アッシュ,北九州市小倉北区片野4-12-10,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
379,常設,小倉北区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,アース子ども食堂,北九州市小倉北区香春口2-1-20,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
380,常設,小倉北区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,子ども食堂サボリバ,北九州市小倉北区井堀3-3-5,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
381,常設,小倉北区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,はるかぜ食堂,北九州市小倉北区下到津5-10-27,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
382,常設,小倉北区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,「いっしょに」,北九州市小倉北区到津4-3-2,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
383,常設,小倉北区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,九栄わんぱくハウス,北九州市小倉北区下到津5-1-1,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
384,常設,小倉北区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,エンジョイ子ども食堂,北九州市小倉北区大畠3-3-15,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
385,常設,小倉北区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,寿山・スコーラダイニング,北九州市小倉北区大畠3-10-2,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
386,常設,小倉北区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,こども食堂ともハピ,北九州市小倉北区菜園場2-3-23,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
387,常設,小倉北区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,まるっと食堂,北九州市小倉北区金田二丁目1－32アヴィニール金田Ⅱ-3,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
388,常設,小倉北区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,すまいるkitchen,北九州市小倉北区金田二丁目1－32アヴィニール金田Ⅱ-3,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
389,常設,小倉北区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,子どもだれでも食堂,北九州市小倉北区金田一丁目１０－７,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
390,常設,小倉北区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,かたのだ子ども食堂,北九州市小倉北区片野3-14-1,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
391,常設,小倉北区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,樹,北九州市小倉北区黄金2-6-6,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
392,常設,小倉北区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,みんなのひろば～ここから～,北九州市小倉北区宇佐町1-5-11,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
393,常設,小倉南区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,"城野あいあい食堂
～みんなのごはん～",北九州市小倉南区富士見3-1-3,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
394,常設,小倉南区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,えがお食堂,北九州市小倉南区南方4-5-1,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
395,常設,小倉南区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,"若園子ども食堂
ツバッキーと
ゆかいな仲間たち",北九州市小倉南区若園4-1-50,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
396,常設,小倉南区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,ホッとふれあい食堂わかぞの,北九州市小倉南区若園4-1-50,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
397,常設,小倉南区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,"Smileキッチン
カムカム",北九州市小倉南区徳力4-17-5,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
398,常設,小倉南区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,光楽園親子朝食堂,北九州市小倉南区徳力新町1-3-28,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
399,常設,小倉南区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,ねっこぼっこ食堂,北九州市小倉南区大字貫795-1,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
400,常設,小倉南区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,"北方市民センター
子ども食堂",北九州市小倉南区北方二丁目１６－１０,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
401,常設,小倉南区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,つながり子ども食堂,北九州市小倉南区城野４－５－５１,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
402,常設,小倉南区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,みんなの食堂 SMILE☺,北九州市小倉南区東貫二丁目4-1,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
403,常設,小倉南区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,こども食堂　ハッピィ,北九州市小倉南区曽根新田北３丁目16-47,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
404,常設,小倉南区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,みんな食堂　和（なごみ）,北九州市小倉南区葛原本町3-4-34,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
405,常設,小倉南区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,ホッとふれあい食堂よしだ,北九州市小倉南区中吉田６丁目２７－５,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
406,常設,若松区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,あーぶくたった,北九州市若松区ひびきの1-7　,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
407,常設,若松区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,"コミュニティひろば　
おいでっちゃ！",北九州市若松区浜町1-1-2,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
408,常設,若松区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,なむなむやむやむ,北九州市若松区本町3-8-3,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
409,常設,若松区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,"高須子ども食堂
【カリス】",北九州市若松区高須東3-4-5,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
410,常設,若松区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,"子ども食堂
☆ひだまり",北九州市若松区高須西1-16-30,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
411,常設,若松区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,てらこやこども食堂ともしび,北九州市若松区竹並１５７８,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
412,常設,若松区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,こども食堂まあ～る,北九州市若松区花野路1-22-10,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
413,常設,若松区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,"こどもの居場所
いのちの根っこ食堂",北九州市若松区二島5-4-17,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
414,常設,八幡東区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,尾倉っ子ホーム,北九州市八幡東区尾倉1-15-2,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
415,常設,八幡東区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,みんなごはん☆,北九州市八幡東区平野1-3-2,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
416,常設,八幡東区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,子ども食堂ねこのま,北九州市八幡東区祇園1－５－１,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
417,常設,八幡東区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,みんなでランチ,北九州市八幡東区祇園１－1－3　北九州泉キリスト教会1階,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
418,常設,八幡東区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,大学生ランチ,北九州市八幡東区祇園１－1－3　北九州泉キリスト教会1階,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
419,常設,八幡東区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,ちゅうおうまち食楽福亭,北九州市八幡東区中央2-16-10,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
420,常設,八幡東区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,"かあさん家
（※休止中）",北九州市八幡東区中央二丁目１４－２２,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
421,常設,八幡東区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,きいと舎食堂,"北九州市八幡東区東田2-6
小倉南区大字頂吉451-1",https://www.city.kitakyushu.lg.jp/contents/11700201.html,
422,常設,八幡東区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,みんな食堂TOMONY,北九州市八幡東区東山2-2-5,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
423,常設,八幡東区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,"げんき☆もりもり
食堂",北九州市八幡東区松尾町19-1,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
424,常設,八幡東区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,多文化食堂翔,北九州市八幡東区昭和2-1-21-1,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
425,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,八っちゃん家,北九州市八幡西区八枝3-8-1　,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
426,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,ランウェイ,北九州市八幡西区八枝2-3-16,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
427,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,のりっこベース,北九州市八幡西区東松尾町１５,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
428,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,わいわい処のりまつ,北九州市八幡西区則松二丁目９⁻１,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
429,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,子ども食堂　いろどりごはん。,北九州市八幡西区三ヶ森４丁目6-1,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
430,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,"馬場山ふれあい広場
（※休止中）",北九州市八幡西区馬場山東1-3-22,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
431,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,子ども食堂　くすくす,北九州市八幡西区楠橋西2-16-22,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
432,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,子ども食堂ひまわり,北九州市八幡西区馬場山緑7-41,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
433,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,みんなの食堂 もやい,北九州市八幡西区鉄王2-2-36,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
434,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,96cafeもえもえキッチン,北九州市八幡西区黒崎2-8-7,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
435,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,黒崎子ども食堂,北九州市八幡西区藤田1-10-44,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
436,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,"グラッチャカフェ
（※休止中）",北九州市八幡西区黒崎3-15-1-4Ｆ,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
437,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,こども食堂あい,北九州市八幡西区藤田4-1-1,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
438,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,たけ☻ごはん♿,北九州市八幡西区黒崎3-15-3,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
439,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,"わがまち食堂
マーラプア","北九州市八幡西区黒崎3-6-6
サンシャインビル１F",https://www.city.kitakyushu.lg.jp/contents/11700201.html,
440,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,こども食堂さいちん,北九州市八幡西区黒崎5-5-31,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
441,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,元気食堂,北九州市八幡西区山寺町6-30,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
442,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,まんぷく御殿,北九州市八幡西区御開5-1-21,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
443,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,まんぷく御殿,北九州市八幡西区本城1-15-1,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
444,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,"子どものための
子どもが
子どもへの
子ども食堂",北九州市八幡西区本城1-15-1,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
445,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,OHANACAFE,北九州市八幡西区幸神3-4-3,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
446,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,おおばる食堂,北九州市八幡西区上上津役3-21-21,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
447,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,子ども食堂わらべクラブ,　北九州市八幡西区日吉台1-22-20,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
448,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,おっち―食堂,北九州市八幡西区折尾１－５－６,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
449,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,口福こども食堂,北九州市八幡西区光明2-2-34,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
450,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,あおぞら食堂,北九州市八幡西区下上津役3-6-6,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
451,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,こども食堂こどもが主役,北九州市八幡西区青山2-1-3,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
